NAME,LAT,LON,MAX
Aplha Chi Alpha,43.7024599,-72.2884012,1000
Alumni Gym,43.7024599,-72.2884012,1000
Baker Library,43.7024599,-72.2884012,1000
Berry Library,43.705650,-72.288746,10
Dartmouth Skiway,43.7024599,-72.2884012,1000
DEN,43.7024599,-72.2884012,1000
Gamma Delta Chi,43.7024599,-72.2884012,1000
Hinman,43.7024599,-72.2884012,1000
Kappa Kappa Gamma,43.7024599,-72.2884012,1000
Kemeny Hall,43.7024599,-72.2884012,1000
Life Science Center,43.7024599,-72.2884012,1000
McLaughlin,43.7024599,-72.2884012,1000
Moore Hall,43.7024599,-72.2884012,1000
North Massachusetts Hall,43.7024599,-72.2884012,1000
Sigma Alpha Epsilon,43.7024599,-72.2884012,1000
Sigma Phi Epsilon,43.706847,-72.292341,10
South Fayerweather,43.7024599,-72.2884012,1000
Theta Delta Chi,43.7024599,-72.2884012,1000
Zimmerman Fitness Center,43.7024599,-72.2884012,1000
