NAME,LAT,LON,MAX_PPL,BOUNDS
Alpha Chi Alpha,43.706998,-72.292806,50,0.0008
Alpha Phi,43.704502,-72.282843,50,0.0008
Alpha Theta,43.707067,-72.288872,50,0.0008
Alpha Xi Delta,43.704025,-72.283208,50,0.0008
Alumni Gym,43.702772,-72.284015,70,0.0015
Amarna,43.704456,-72.281236,50,0.0008
Baker Library,43.705194,-72.288721,80,0.0009
Bema,43.705143,-72.284503,20,0.0008
Berry Library,43.705650,-72.288746,50,0.0009
Beta Alpha Omega,43.705996,-72.291029,50,0.0008
Bones Gate,43.706174,-72.291954,50,0.0008
Burke Hall,43.706297,-72.286028,70,0.0008
Burnham Field,43.699312,-72.279558,60,0.0015
Butterfield Hall,43.705637,-72.291123,60,0.0008
Chi Delta,43.707687,-72.292754,50,0.0008
Chi Gamma Epsilon,43.706652,-72.291523,50,0.0008
Chi Heorot,43.703702,-72.284395,50,0.0008
Chinese Language House,43.707427,-72.289146,50,0.0008
Choate Cluster,43.707356,-72.291016,60,0.0015
Collis,43.702756,-72.289915,50,0.0008
Cutter Shabazz Hall,43.707039,-72.290088,50,0.0008
Dartmouth Hall,43.703758,-72.287084,60,0.0008
Dartmouth Skiway,43.786571,-72.099388,60,0.01
DEN,43.700400,-72.287234,30,0.0008
Dick’s House,43.708702,-72.287041,30,0.0008
East Wheelock,43.704178,-72.283937,70,0.0008
Epsilon Kappa Theta,43.707112,-72.293303,50,0.0008
Fahey Hall,43.705382,-72.291541,70,0.0008
Fairchild,43.705915,-72.286347,60,0.0008
Floren,43.701539,-72.283523,55,0.0008
Foco (’53 Commons),43.703056,-72.290856,70,0.0008
Foley House,43.700559,-72.294323,50,0.0008
Gamma Delta Chi,43.706561,-72.289993,50,0.001
Gile Hall,43.704682,-72.291270,50,0.0008
Hitchcock Hall,43.704734,-72.290701,50,0.0008
HOP (Hopkins Center),43.701668,-72.288126,60,0.0015
Kappa Delta Epsilon,43.706771,-72.292032,50,0.0008
Kappa Delta,43.707431,-72.293115,50,0.0008
Kappa Kappa Gamma,43.703875,-72.281443,50,0.0008
Kappa Kappa Kappa,43.706268,-72.290019,50,0.0008
Kemeny Hall,43.706321,-72.288993,3,0.001
LALACS House,43.707805,-72.288847,50,0.0008
La Casa,43.706227,-72.286974,50,0.0008
Leede Arena,43.702979,-72.282791,50,0.0008
Leverone Fieldhouse,43.700878,-72.282746,50,0.0015
Life Sciences Center,43.708871,-72.284012,60,0.0015
Lodge,43.700706,-72.286679,50,0.0008
Lorde Hall,43.704650,-72.292108,50,0.0008
McLane Hall,43.705539,-72.292015,50,0.0008
McLaughlin Cluster,43.707391,-72.286321,70,0.001
Memorial Field,43.701305,-72.284250,50,0.0017
Mid Fayerweather Hall,43.703736,-72.286413,50,0.0008
Mid Massachusetts Hall,43.703788,-72.290595,50,0.0008
Moore Hall,43.707286,-72.287958,60,0.0008
Native America House,43.707273,-72.288673,30,0.0008
New Hampshire Hall,43.702462,-72.286794,50,0.0008
North Fayerweather Hall,43.704095,-72.286404,50,0.0008
North Massachusetts Hall,43.704151,-72.290620,50,0.0008
North Park,43.704184,-72.285524,60,0.0008
Novak Café,43.705756,-72.288307,40,0.0008
Panarchy,43.700981,-72.291924,50,0.0008
Phi Delta Alpha,43.706528,-72.291122,50,0.0008
Phi Tau,43.706793,-72.289098,50,0.0008
Psi Upsilon,43.702729,-72.290658,50,0.0008
Rauner Library,43.704447,-72.288206,50,0.0008
Red Rolfe Field,43.701848,-72.282674,30,0.0015
River Cluster,43.704208,-72.296835,50,0.0009
Robinson Hall,43.703122,-72.289938,40,0.0008
Rockefeller Center,43.705785,-72.290174,50,0.0008
Russell Sage Hall,43.705467,-72.290772,50,0.0008
Sanborn House,43.704774,-72.289263,50,0.0008
Scully-Fahey Field,43.700068,-72.277656,50,0.0015
Sigma Delta,43.702155,-72.291172,50,0.0008
Sigma Nu,43.706289,-72.292363,50,0.0008
Sigma Phi Epsilon,43.706847,-72.292341,3,0.001
Silsby Hall,43.705471,-72.290078,50,0.0008
South Fayerweather,43.703391,-72.286416,3,0.001
South Massachusetts Hall,43.703407,-72.290590,50,0.0008
Steele Hall,43.705714,-72.286733,50,0.0008
Streeter Hall,43.704640,-72.291715,50,0.0008
Sudikoff Hall,43.706703,-72.287029,50,0.0008
Tabard,43.706472,-72.290690,50,0.0008
Theta Delta Chi,43.702729,-72.291498,50,0.0008
Thompson Arena,43.701055,-72.280210,50,0.0015
Topliff Hall,43.702587,-72.285998,50,0.0008
Triangle House,43.705034,-72.283033,50,0.0008
Wheeler Hall,43.705038,-72.287309,50,0.0008
Wilder Hall,43.705273,-72.286263,50,0.0008
Zeta Psi,43.706095,-72.291554,50,0.0008
